time_referencia,competicao,pais_competicao,data_jogo,time_casa,time_fora,jogo,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias
Arsenal,Premier League,England,2026-05-24 15:00:00,Crystal Palace,Arsenal,Crystal Palace x Arsenal,1 x 2,3-4-2-1,4-2-3-1,Dean Henderson | Nathaniel Clyne | Jefferson Lerma | Chadi Riad | Daniel Muñoz | Will Hughes | Daichi Kamada | Rio Cardines | Justin Devenny | Ismaïla Sarr | Jørgen Strand Larsen,Kepa Arrizabalaga | Martín Zubimendi | Cristhian Mosquera | Piero Hincapié | Riccardo Calafiori | Christian Nørgaard | Myles Lewis-Skelly | Noni Madueke | Max Dowman | Gabriel Martinelli | Gabriel Jesus,[FORA] 83' Viktor Gyökeres entrou no lugar de Noni Madueke | [CASA] 77' Jean Philippe Mateta entrou no lugar de Jørgen Strand Larsen | [FORA] 75' Eberechi Eze entrou no lugar de Gabriel Jesus | [CASA] 62' Evann Guessand entrou no lugar de Adam Wharton | [FORA] 62' Mikel Merino entrou no lugar de Max Dowman | [FORA] 46' Kai Havertz entrou no lugar de Christian Nørgaard | [CASA] 46' Tyrick Mitchell entrou no lugar de Daniel Muñoz | [CASA] 46' Yéremy Pino entrou no lugar de Ismaïla Sarr | [CASA] 46' Adam Wharton entrou no lugar de Daichi Kamada | [FORA] 46' Gabriel Magalhães entrou no lugar de Riccardo Calafiori,[CASA] 89' Jean Philippe Mateta | [FORA] 48' Noni Madueke | [FORA] 42' Gabriel Jesus,[CASA] 89' Yéremy Pino -> Jean Philippe Mateta | [FORA] 48' Kai Havertz -> Noni Madueke | [FORA] 42' Gabriel Martinelli -> Gabriel Jesus
Arsenal,Premier League,England,2026-05-18 19:00:00,Arsenal,Burnley,Arsenal x Burnley,1 x 0,4-3-3,4-2-3-1,David Raya | Cristhian Mosquera | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Martin Ødegaard | Declan Rice | Eberechi Eze | Bukayo Saka | Kai Havertz | Leandro Trossard,Max Weiss | Kyle Walker | Axel Tuanzebe | Maxime Estève | Lucas Pires | Florentino Luís | Lesley Ugochukwu | Loum Tchaouna | Hannibal Mejbri | Jaidon Anthony | Zian Flemming,[CASA] 90' Martín Zubimendi entrou no lugar de Martin Ødegaard | [CASA] 90' Gabriel Martinelli entrou no lugar de Leandro Trossard | [FORA] 82' Bashir Humphreys entrou no lugar de Maxime Estève | [FORA] 82' Jacob Bruun Larsen entrou no lugar de Loum Tchaouna | [FORA] 78' James Ward-Prowse entrou no lugar de Florentino Luís | [CASA] 73' Myles Lewis-Skelly entrou no lugar de Eberechi Eze | [CASA] 73' Viktor Gyökeres entrou no lugar de Kai Havertz | [CASA] 72' Piero Hincapié entrou no lugar de Riccardo Calafiori | [FORA] 71' Josh Laurent entrou no lugar de Lesley Ugochukwu | [FORA] 70' Zeki Amdouni entrou no lugar de Hannibal Mejbri,[CASA] 37' Kai Havertz,[CASA] 37' Bukayo Saka -> Kai Havertz
PSG,Ligue 1,France,2026-05-17 19:00:00,Paris FC,Paris Saint-Germain,Paris FC x Paris Saint-Germain,2 x 1,4-4-2,4-3-3,Kevin Trapp | Adama Camara | Samir Sophian Chergui | Diego Coppola | Otávio | Jonathan Ikoné | Rudy Matondo | Pierre Lees Melou | Moses Simon | Marshall Munetsi | Willem Geubbels,Matvey Safonov | Warren Zaïre-Emery | Ilya Zabarnyi | Marquinhos | Dimitri Lucea | Lucas Beraldo | Vitinha | Fabián Ruiz | Bradley Barcola | Ousmane Dembélé | Khvicha Kvaratskhelia,[CASA] 84' Hamari Traoré entrou no lugar de Otávio | [CASA] 77' Vincent Marchetti entrou no lugar de Rudy Matondo | [FORA] 68' João Neves entrou no lugar de Vitinha | [CASA] 68' Luca Koleosho entrou no lugar de Willem Geubbels | [CASA] 67' Ilan Kebbal entrou no lugar de Marshall Munetsi | [CASA] 67' Alimami Gory entrou no lugar de Jonathan Ikoné | [CASA] 67' Maxime López entrou no lugar de Moses Simon | [FORA] 58' Kang-in Lee entrou no lugar de Warren Zaïre-Emery | [FORA] 58' Ibrahim Mbaye entrou no lugar de Bradley Barcola | [FORA] 58' Senny Mayulu entrou no lugar de Khvicha Kvaratskhelia | [FORA] 46' Dro Fernández entrou no lugar de Dimitri Lucea | [FORA] 27' Gonçalo Ramos entrou no lugar de Ousmane Dembélé,[CASA] 90+4' Alimami Gory | [CASA] 76' Alimami Gory | [FORA] 50' Bradley Barcola,[CASA] 90+4' Luca Koleosho -> Alimami Gory | [CASA] 76' Pierre Lees Melou -> Alimami Gory | [FORA] 50' Fabián Ruiz -> Bradley Barcola
PSG,Ligue 1,France,2026-05-13 19:00:00,RC Lens,Paris Saint-Germain,RC Lens x Paris Saint-Germain,0 x 2,3-4-2-1,4-3-3,Robin Risser | Ismaelo Ganiou | Samson Baidoo | Malang Sarr | Ruben Aguilar | Mamadou Sangare | Adrien Thomasson | Matthieu Udol | Abdallah Sima | Wesley Saïd | Odsonne Édouard,Matvey Safonov | Senny Mayulu | Ilya Zabarnyi | Lucas Beraldo | Lucas Hernández | Désiré Doué | João Neves | Dro Fernández | Bradley Barcola | Ousmane Dembélé | Khvicha Kvaratskhelia,[CASA] 85' Florian Sotoca entrou no lugar de Abdallah Sima | [CASA] 85' Andrija Bulatovic entrou no lugar de Ruben Aguilar | [FORA] 76' Ibrahim Mbaye entrou no lugar de Ousmane Dembélé | [FORA] 76' Dimitri Lucea entrou no lugar de João Neves | [FORA] 72' Gonçalo Ramos entrou no lugar de Khvicha Kvaratskhelia | [FORA] 61' Fabián Ruiz entrou no lugar de Lucas Hernández | [CASA] 61' Allan Saint-Maximin entrou no lugar de Odsonne Édouard | [CASA] 60' Kyllian Antonio entrou no lugar de Samson Baidoo | [CASA] 60' Florian Thauvin entrou no lugar de Wesley Saïd | [FORA] 46' Vitinha entrou no lugar de Bradley Barcola,[FORA] 90+3' Ibrahim Mbaye | [FORA] 29' Khvicha Kvaratskhelia,[FORA] 90+3' Désiré Doué -> Ibrahim Mbaye | [FORA] 29' Ousmane Dembélé -> Khvicha Kvaratskhelia
PSG,Ligue 1,France,2026-05-10 19:00:00,Paris Saint-Germain,Stade Brestois,Paris Saint-Germain x Stade Brestois,1 x 0,4-3-3,3-4-3,Renato Marin | Senny Mayulu | Marquinhos | Ilya Zabarnyi | Lucas Hernández | Dro Fernández | Lucas Beraldo | Fabián Ruiz | Kang-in Lee | Gonçalo Ramos | Bradley Barcola,Grégoire Coudert | Raphaël Le Guen | Lucas Tousart | Michel Diaz | Eric Ebimbe | Joris Chotard | Hugo Magnetti | Daouda Guindo | Romain Del Castillo | Ludovic Ajorque | Kamory Doumbia,[FORA] 88' Hamidou Makalou entrou no lugar de Lucas Tousart | [FORA] 87' Mama Baldé entrou no lugar de Romain Del Castillo | [CASA] 69' João Neves entrou no lugar de Bradley Barcola | [FORA] 67' Remy Labeau Lascary entrou no lugar de Kamory Doumbia | [CASA] 61' Khvicha Kvaratskhelia entrou no lugar de Fabián Ruiz | [CASA] 61' Ousmane Dembélé entrou no lugar de Gonçalo Ramos | [CASA] 53' Désiré Doué entrou no lugar de Kang-in Lee,[CASA] 82' Désiré Doué,[CASA] 82' Lucas Hernández -> Désiré Doué
Arsenal,Premier League,England,2026-05-10 15:30:00,West Ham United,Arsenal,West Ham United x Arsenal,0 x 1,3-4-2-1,4-2-3-1,Mads Hermansen | Jean-Clair Todibo | Konstantinos Mavropanos | Axel Disasi | Aaron Wan-Bissaka | Tomáš Souček | Mateus Fernandes | El Hadji Malick Diouf | Jarrod Bowen | Crysencio Summerville | Valentín Castellanos,David Raya | Ben White | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Declan Rice | Myles Lewis-Skelly | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,[CASA] 85' Callum Wilson entrou no lugar de Axel Disasi | [FORA] 80' Noni Madueke entrou no lugar de Bukayo Saka | [FORA] 67' Kai Havertz entrou no lugar de Martín Zubimendi | [FORA] 67' Martin Ødegaard entrou no lugar de Eberechi Eze | [CASA] 67' Pablo Felipe entrou no lugar de Valentín Castellanos | [FORA] 46' Cristhian Mosquera entrou no lugar de Riccardo Calafiori | [FORA] 28' Martín Zubimendi entrou no lugar de Ben White,[FORA] 83' Leandro Trossard,[FORA] 83' Martin Ødegaard -> Leandro Trossard
PSG,"UEFA Champions League, Knockout stage",Europe,2026-05-06 19:00:00,FC Bayern München,Paris Saint-Germain,FC Bayern München x Paris Saint-Germain,1 x 1,4-2-3-1,4-3-3,Manuel Neuer | Konrad Laimer | Dayot Upamecano | Jonathan Tah | Josip Stanišić | Joshua Kimmich | Aleksandar Pavlović | Michael Olise | Jamal Musiala | Luis Díaz | Harry Kane,Matvey Safonov | Warren Zaïre-Emery | Marquinhos | Willian Pacho | Nuno Mendes | Fabián Ruiz | Vitinha | João Neves | Désiré Doué | Ousmane Dembélé | Khvicha Kvaratskhelia,[FORA] 85' Senny Mayulu entrou no lugar de Nuno Mendes | [CASA] 85' Lennart Karl entrou no lugar de Dayot Upamecano | [CASA] 79' Nicolas Jackson entrou no lugar de Jamal Musiala | [FORA] 76' Lucas Beraldo entrou no lugar de Fabián Ruiz | [FORA] 76' Lucas Hernández entrou no lugar de Désiré Doué | [CASA] 68' Kim Min-jae entrou no lugar de Jonathan Tah | [CASA] 67' Alphonso Davies entrou no lugar de Josip Stanišić | [FORA] 65' Bradley Barcola entrou no lugar de Ousmane Dembélé,[CASA] 90+4' Harry Kane | [FORA] 3' Ousmane Dembélé,[CASA] 90+4' Alphonso Davies -> Harry Kane | [FORA] 3' Khvicha Kvaratskhelia -> Ousmane Dembélé
Arsenal,"UEFA Champions League, Knockout stage",Europe,2026-05-05 19:00:00,Arsenal,Atlético Madrid,Arsenal x Atlético Madrid,1 x 0,4-2-3-1,4-4-2,David Raya | Ben White | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Declan Rice | Myles Lewis-Skelly | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,Jan Oblak | Marc Pubill | Robin Le Normand | Dávid Hancko | Matteo Ruggeri | Giuliano Simeone | Marcos Llorente | Koke | Ademola Lookman | Antoine Griezmann | Julián Alvarez,[CASA] 83' Gabriel Martinelli entrou no lugar de Leandro Trossard | [CASA] 74' Martín Zubimendi entrou no lugar de Myles Lewis-Skelly | [FORA] 66' Thiago Almada entrou no lugar de Julián Alvarez | [FORA] 66' Alex Baena entrou no lugar de Antoine Griezmann | [CASA] 59' Martin Ødegaard entrou no lugar de Eberechi Eze | [CASA] 58' Noni Madueke entrou no lugar de Bukayo Saka | [CASA] 58' Piero Hincapié entrou no lugar de Riccardo Calafiori | [FORA] 57' Nahuel Molina entrou no lugar de Ademola Lookman | [FORA] 57' Alexander Sørloth entrou no lugar de Robin Le Normand | [FORA] 57' Johnny Cardoso entrou no lugar de Giuliano Simeone,[CASA] 44' Bukayo Saka,
Arsenal,Premier League,England,2026-05-02 16:30:00,Arsenal,Fulham,Arsenal x Fulham,3 x 0,4-2-3-1,4-2-3-1,David Raya | Ben White | William Saliba | Gabriel Magalhães | Riccardo Calafiori | Declan Rice | Myles Lewis-Skelly | Bukayo Saka | Eberechi Eze | Leandro Trossard | Viktor Gyökeres,Bernd Leno | Timothy Castagne | Joachim Andersen | Calvin Bassey | Antonee Robinson | Harrison Reed | Saša Lukić | Harry Wilson | Emile Smith Rowe | Samuel Chukwueze | Raúl Jiménez,[CASA] 83' Cristhian Mosquera entrou no lugar de Ben White | [FORA] 78' Jonah Kusi-Asare entrou no lugar de Emile Smith Rowe | [CASA] 78' Max Dowman entrou no lugar de Eberechi Eze | [FORA] 73' Rodrigo Muniz entrou no lugar de Raúl Jiménez | [CASA] 64' Gabriel Jesus entrou no lugar de Viktor Gyökeres | [CASA] 64' Martín Zubimendi entrou no lugar de Declan Rice | [FORA] 64' Oscar Bobb entrou no lugar de Harry Wilson | [FORA] 64' Joshua King entrou no lugar de Samuel Chukwueze | [FORA] 64' Tom Cairney entrou no lugar de Harrison Reed | [CASA] 46' Noni Madueke entrou no lugar de Bukayo Saka,[CASA] 45+4' Viktor Gyökeres | [CASA] 40' Bukayo Saka | [CASA] 9' Viktor Gyökeres,[CASA] 45+4' Leandro Trossard -> Viktor Gyökeres | [CASA] 40' Viktor Gyökeres -> Bukayo Saka | [CASA] 9' Bukayo Saka -> Viktor Gyökeres
PSG,Ligue 1,France,2026-05-02 15:00:00,Paris Saint-Germain,Lorient,Paris Saint-Germain x Lorient,2 x 2,4-3-3,3-4-2-1,Renato Marin | Senny Mayulu | Lucas Beraldo | Willian Pacho | Lucas Hernández | Kang-in Lee | Fabián Ruiz | Dro Fernández | Ibrahim Mbaye | Désiré Doué | Bradley Barcola,Yvon Mvogo | Nathaniel Adjei | Montassar Talbi | Abdoulaye Faye | Panos Katseris | Laurent Abergel | Noah Cadiou | Arsène Kouassi | Arthur Avom Ebong | Pablo Pagis | Ahmadou Bamba Dieng,[FORA] 80' Darlin Yongwa entrou no lugar de Panos Katseris | [CASA] 75' Pierre Mounguengue entrou no lugar de Désiré Doué | [FORA] 73' Jean Victor Makengo entrou no lugar de Arthur Avom Ebong | [FORA] 72' Aiyegun Tosin entrou no lugar de Ahmadou Bamba Dieng | [FORA] 72' Karim Dermane entrou no lugar de Pablo Pagis | [CASA] 62' João Neves entrou no lugar de Ibrahim Mbaye | [CASA] 61' Warren Zaïre-Emery entrou no lugar de Fabián Ruiz,[FORA] 78' Aiyegun Tosin | [CASA] 62' Warren Zaïre-Emery | [FORA] 12' Pablo Pagis | [CASA] 6' Ibrahim Mbaye,[CASA] 62' Désiré Doué -> Warren Zaïre-Emery | [FORA] 12' Panos Katseris -> Pablo Pagis
